,train_loss,val_accuracy
0,15.14731,0.93025
1,3.816189,0.96525
2,2.8370533,0.9735
3,2.3554518,0.97933334
4,2.034436,0.97825
5,1.8364536,0.98183334
6,1.6646541,0.98625
7,1.5242736,0.98483336
8,1.4211622,0.9856667
9,1.3358592,0.98658335
10,1.265149,0.9891667
11,1.2159162,0.98875
12,1.1596606,0.9895833
13,1.1059381,0.9888333
14,1.0811486,0.98875
15,1.0275493,0.98983335
16,0.9960431,0.98941666
17,0.9682088,0.9895
18,0.9355385,0.98925
19,0.8993737,0.9905
20,0.86965644,0.99125
21,0.8380586,0.99075
22,0.80885583,0.99116665
23,0.7845925,0.99083334
24,0.7762359,0.9910833
25,0.7533868,0.9914167
26,0.7316188,0.9918333
27,0.72103435,0.99058336
28,0.70115334,0.9914167
29,0.6922907,0.99175
30,0.67635864,0.9915
31,0.66069967,0.9920833
32,0.654141,0.99116665
33,0.6428903,0.9915
34,0.64795244,0.9918333
35,0.6199164,0.99116665
36,0.6160424,0.992
37,0.5995957,0.99266666
38,0.59821194,0.9920833
39,0.5868288,0.99225
40,0.581738,0.99258333
41,0.568843,0.992
42,0.5548599,0.99225
43,0.55343705,0.9925
44,0.55313534,0.9931667
45,0.5424943,0.99258333
46,0.53007895,0.99383336
47,0.54668856,0.99266666
48,0.5220845,0.99233335
49,0.52608234,0.99266666
