,train_loss,val_accuracy
0,0.35646608,0.96475
1,0.0919638,0.9766667
2,0.07084161,0.97858334
3,0.06368653,0.9830833
4,0.05511141,0.9841667
5,0.05019831,0.98625
6,0.044752505,0.98333335
7,0.04141632,0.9870833
8,0.040862065,0.98725
9,0.035800464,0.989
10,0.036189258,0.9895
11,0.032345142,0.9878333
12,0.03262097,0.986
13,0.032667883,0.9888333
14,0.027878715,0.986
15,0.0276217,0.98933333
16,0.028619565,0.9885
17,0.028070046,0.98758334
18,0.026614878,0.98658335
19,0.0242547,0.98733336
20,0.024859926,0.98875
21,0.021945834,0.9905
22,0.023055982,0.98775
23,0.022188202,0.988
24,0.024182241,0.98866665
25,0.021386638,0.98825
26,0.021985643,0.9905
27,0.020266974,0.98908335
28,0.021639798,0.98875
29,0.020903021,0.9884167
30,0.020203866,0.9878333
31,0.020049322,0.99058336
32,0.019301755,0.9905
33,0.017724713,0.98808336
34,0.018407162,0.99116665
35,0.015449927,0.989
36,0.01826816,0.98983335
37,0.018080896,0.99008334
38,0.016832652,0.99016666
39,0.017137617,0.9895
40,0.017483456,0.9891667
41,0.015874634,0.98775
42,0.017318195,0.9910833
43,0.016308181,0.98975
44,0.017156385,0.9899167
45,0.019058187,0.991
46,0.0,0.0
47,0.0,0.0
48,0.0,0.0
49,0.0,0.0
