,train_loss,val_accuracy
0,15.581317,0.93633336
1,4.1557393,0.969
2,3.0838597,0.9735
3,2.6810412,0.98083335
4,2.4433255,0.982
5,2.271597,0.98291665
6,2.1373754,0.98275
7,2.0015128,0.9856667
8,1.8799136,0.98725
9,1.722868,0.98791665
10,1.5910075,0.98775
11,1.4708558,0.9888333
12,1.3946913,0.98975
13,1.3274426,0.99008334
14,1.2671307,0.99091667
15,1.2208499,0.991
16,1.1762851,0.9914167
17,1.1369026,0.9905
18,1.0911609,0.99175
19,1.0627651,0.99083334
20,1.0180955,0.9915
21,0.99420583,0.9916667
22,0.95574147,0.99225
23,0.93735343,0.9916667
24,0.9082948,0.9928333
25,0.882549,0.99175
26,0.8612005,0.99116665
27,0.84454757,0.99083334
28,0.8242563,0.99275
29,0.7989599,0.99275
30,0.7829198,0.99291664
31,0.77964,0.99308336
32,0.75716114,0.99225
33,0.7382304,0.99225
34,0.72715986,0.99225
35,0.7255429,0.9915
36,0.7115325,0.9924167
37,0.68248135,0.9925
38,0.68233806,0.9925
39,0.6818049,0.9924167
40,0.6645229,0.99216664
41,0.650783,0.99291664
42,0.6433007,0.9916667
43,0.0,0.0
44,0.0,0.0
45,0.0,0.0
46,0.0,0.0
47,0.0,0.0
48,0.0,0.0
49,0.0,0.0
