,train_loss,val_accuracy
0,6.1192145,0.9485833
1,2.3302915,0.9685
2,1.7075267,0.97616667
3,1.3927951,0.981
4,1.2361578,0.9813333
5,1.1222512,0.98391664
6,1.0373567,0.98466665
7,0.9751054,0.98466665
8,0.9230663,0.98691666
9,0.88084143,0.9865
10,0.84174454,0.98616666
11,0.8097624,0.9875
12,0.7901022,0.98875
13,0.75567544,0.9881667
14,0.7317046,0.98733336
15,0.70688117,0.9895833
16,0.69349974,0.98975
17,0.6695653,0.9891667
18,0.6548726,0.9895
19,0.6323412,0.99041665
20,0.62034816,0.99008334
21,0.60882056,0.99116665
22,0.59576213,0.99
23,0.58757,0.99058336
24,0.58228743,0.9903333
25,0.56376594,0.9895
26,0.55970085,0.9914167
27,0.54817724,0.99158335
28,0.54545975,0.9899167
29,0.5432522,0.98933333
30,0.53033644,0.98983335
31,0.52373576,0.99058336
32,0.5175909,0.99075
33,0.5173276,0.9918333
34,0.50305516,0.9914167
35,0.4953034,0.9903333
36,0.49549082,0.99083334
37,0.48734486,0.99225
38,0.47970062,0.99175
39,0.47947857,0.9916667
40,0.47641093,0.9916667
41,0.47643852,0.9916667
42,0.4660456,0.992
43,0.46125093,0.9920833
44,0.44984898,0.99275
45,0.45245722,0.99191666
46,0.44484517,0.9913333
47,0.44841614,0.991
48,0.44473314,0.98975
49,0.43307117,0.99216664
