,train_loss,val_accuracy
0,17.15764,0.91008335
1,5.042549,0.962
2,3.3199167,0.97316664
3,2.7215931,0.9763333
4,2.41116,0.98083335
5,2.2196977,0.9825
6,2.164665,0.983
7,1.9454573,0.98475
8,1.8667471,0.98525
9,1.743489,0.9866667
10,1.66346,0.985
11,1.614052,0.9878333
12,1.5040927,0.9881667
13,1.4375662,0.98875
14,1.3780535,0.98941666
15,1.3169897,0.98933333
16,1.267842,0.98833334
17,1.2235259,0.991
18,1.1951458,0.99008334
19,1.1445836,0.9903333
20,1.1111921,0.98983335
21,1.0760485,0.98866665
22,1.0461931,0.9906667
23,1.0186739,0.99
24,0.9892576,0.99041665
25,0.9539825,0.98941666
26,0.93819,0.9915
27,0.9155602,0.99083334
28,0.89955235,0.992
29,0.86586666,0.9910833
30,0.85690486,0.991
31,0.8468289,0.9920833
32,0.81640524,0.9915
33,0.8125662,0.99158335
34,0.799594,0.99225
35,0.7722895,0.99041665
36,0.7711576,0.9920833
37,0.7398862,0.99266666
38,0.7349966,0.99158335
39,0.715432,0.9925
40,0.72144,0.9914167
41,0.713654,0.9924167
42,0.6877621,0.9925
43,0.6935469,0.9925
44,0.6691719,0.9916667
45,0.6705986,0.9920833
46,0.6603241,0.99083334
47,0.643125,0.99216664
48,0.64300495,0.99258333
49,0.0,0.0
